,Dataset,# People,Modelos,NMI,cluster alg,multiview,vgg,resnet,senet
39,celeba,50,S vgg16 kmeans,0.7788461657888784,kmeans,S,True,True,True
40,celeba,50,S vgg16 kmeans,0.78599974634257,kmeans,S,True,True,True
41,celeba,50,S vgg16 kmeans,0.7924510141096982,kmeans,S,True,True,True
42,celeba,50,S vgg16 kmeans,0.7821759463723276,kmeans,S,True,True,True
43,celeba,50,S vgg16 kmeans,0.8382226495972899,kmeans,S,True,True,True
44,celeba,50,S vgg16 kmeans,0.7798606996128375,kmeans,S,True,True,True
45,celeba,50,S vgg16 kmeans,0.8083377578328149,kmeans,S,True,True,True
46,celeba,50,S vgg16 kmeans,0.8131937749939726,kmeans,S,True,True,True
47,celeba,50,S vgg16 kmeans,0.794244096205215,kmeans,S,True,True,True
48,celeba,50,S vgg16 kmeans,0.7922416861320275,kmeans,S,True,True,True
49,celeba,50,S vgg16 kmeans,0.8361811399436786,kmeans,S,True,True,True
50,celeba,50,S vgg16 kmeans,0.797915928302743,kmeans,S,True,True,True
51,celeba,50,S vgg16 kmeans,0.784774431280438,kmeans,S,True,True,True
52,celeba,50,S vgg16 kmeans,0.8254735747621414,kmeans,S,True,True,True
53,celeba,50,S vgg16 kmeans,0.8132613636056997,kmeans,S,True,True,True
54,celeba,50,S vgg16 kmeans,0.818433833733659,kmeans,S,True,True,True
55,celeba,50,S vgg16 kmeans,0.8046100974856495,kmeans,S,True,True,True
56,celeba,50,S vgg16 kmeans,0.7890887578151431,kmeans,S,True,True,True
57,celeba,50,S vgg16 kmeans,0.8214894447685813,kmeans,S,True,True,True
58,celeba,50,S vgg16 kmeans,0.8043118599981396,kmeans,S,True,True,True
59,celeba,50,S vgg16 kmeans,0.8188053445434631,kmeans,S,True,True,True
60,celeba,50,S vgg16 kmeans,0.8401390768432072,kmeans,S,True,True,True
61,celeba,50,S vgg16 kmeans,0.7788142167203181,kmeans,S,True,True,True
62,celeba,50,S vgg16 kmeans,0.7969004548335321,kmeans,S,True,True,True
63,celeba,50,S vgg16 kmeans,0.7817568397981521,kmeans,S,True,True,True
64,celeba,50,S vgg16 kmeans,0.7978029196218365,kmeans,S,True,True,True
65,celeba,50,S vgg16 kmeans,0.8435766552655358,kmeans,S,True,True,True
66,celeba,50,S vgg16 kmeans,0.8002377477798609,kmeans,S,True,True,True
67,celeba,50,S vgg16 kmeans,0.7881375126587438,kmeans,S,True,True,True
68,celeba,50,S vgg16 kmeans,0.8327790572451756,kmeans,S,True,True,True
69,celeba,50,S vgg16 kmeans,0.7800850315047531,kmeans,S,True,True,True
70,celeba,50,S vgg16 kmeans,0.799462358290692,kmeans,S,True,True,True
71,celeba,50,S vgg16 kmeans,0.8130933738584603,kmeans,S,True,True,True
72,celeba,50,S vgg16 kmeans,0.7735434750469248,kmeans,S,True,True,True
73,celeba,50,S vgg16 kmeans,0.8454467847207333,kmeans,S,True,True,True
74,celeba,50,S vgg16 kmeans,0.8252606335815487,kmeans,S,True,True,True
75,celeba,50,S vgg16 kmeans,0.8277503140648964,kmeans,S,True,True,True
76,celeba,50,S vgg16 kmeans,0.7901311718916131,kmeans,S,True,True,True
77,celeba,50,S vgg16 kmeans,0.769882928377542,kmeans,S,True,True,True
78,celeba,50,S vgg16 kmeans,0.7896313540383151,kmeans,S,True,True,True
